Famille;Genre;Espèce;Cultivar;Origine;Année de plantation;Nom du site;Localisation;Photo 1;Photo 2;Photo 3;Géolocalisation
Apiaceae;Angelica;sylvestris L.;;Récolte nature (WLG-PF);2016;Jardin des Plantes;E3;;;;47.2187942, -1.5432752
Apiaceae;Eryngium;amethystinum L.;;Universita degli Studi dell'Aquila;2006;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Apocynaceae;Trachelospermum;asiaticum Nakai;;Hiroshima Botanical Garden,Japon;2014;Jardin des Plantes;D3A;;;;47.2201437, -1.5418754
Apocynaceae;Amsonia;illustris Woodson;;JB. Osterr-garten, Graz (Autriche);2011;Jardin des Plantes;C4;;;;47.2195866, -1.5429564
Apocynaceae;Araujia;sericifera;;;;Jardin d'agronomie tropicale du Grand-Blottereau;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/667283564bdc2e286f3cc8e7b34d84f1;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/66340fb2d0984bd67a216f0db6bccaf2;;47.226967, -1.512492
Aquifoliaceae;Ilex;glabra A.Grey;;jardins d'écoute s'il pleut;2015;Jardin des Plantes;B5;;;;47.2202019, -1.5440256
Araceae;Arisaema;tortuosum Schott;;Botanischer Garten der Justus-Liebig-Universität, Giessen, Allemagne;2013;Jardin des Plantes;E1;;;;47.2190459, -1.5436715
Araceae;Arisaema;tortuosum Schott;;Botanischer Garten der Universitat, Erlangen-Nurnberg, Allemagne;2012;Jardin des Plantes;E1;;;;47.2190459, -1.5436715
Araliaceae;Hedera;helix;Pedata;Jardin Botanique de Nantes;2012;Jardin des Plantes;B1;;;;47.2204652, -1.544656
Araliaceae;Neopanax;arboreus;;Pépinères Arven - Poullan-Sur-Mer (29);2015;Jardin des Plantes;B7;;;;47.2198817, -1.5442188
Araliaceae;Raukaua;laetivirens;;Pépinères Arven - Poullan-Sur-Mer (29);2015;Jardin des Plantes;B7;;;;47.2198817, -1.5442188
Araliaceae;Fatsia;japonica;;;;Parc exotique du Grand-Blottereau;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/638076252ef45e2c793425cbb06d344b;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/bb5b92fe33a6e38a96128675fa3f6cd8;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/9a7e56f6f78c53f58ca8d06b05668cdb;47.229238, -1.51167
